Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	A_1 Spectral Count	A_2 Spectral Count	A_3 Spectral Count	B_1 Spectral Count	B_2 Spectral Count	B_3 Spectral Count	C_1 Spectral Count	C_2 Spectral Count	C_3 Spectral Count	D_1 Spectral Count	D_2 Spectral Count	D_3 Spectral Count	E_1 Spectral Count	E_2 Spectral Count	E_3 Spectral Count	A_1 Unique Spectral Count	A_2 Unique Spectral Count	A_3 Unique Spectral Count	B_1 Unique Spectral Count	B_2 Unique Spectral Count	B_3 Unique Spectral Count	C_1 Unique Spectral Count	C_2 Unique Spectral Count	C_3 Unique Spectral Count	D_1 Unique Spectral Count	D_2 Unique Spectral Count	D_3 Unique Spectral Count	E_1 Unique Spectral Count	E_2 Unique Spectral Count	E_3 Unique Spectral Count	A_1 Total Spectral Count	A_2 Total Spectral Count	A_3 Total Spectral Count	B_1 Total Spectral Count	B_2 Total Spectral Count	B_3 Total Spectral Count	C_1 Total Spectral Count	C_2 Total Spectral Count	C_3 Total Spectral Count	D_1 Total Spectral Count	D_2 Total Spectral Count	D_3 Total Spectral Count	E_1 Total Spectral Count	E_2 Total Spectral Count	E_3 Total Spectral Count	A_1 Intensity	A_2 Intensity	A_3 Intensity	B_1 Intensity	B_2 Intensity	B_3 Intensity	C_1 Intensity	C_2 Intensity	C_3 Intensity	D_1 Intensity	D_2 Intensity	D_3 Intensity	E_1 Intensity	E_2 Intensity	E_3 Intensity	A_1 MaxLFQ Intensity	A_2 MaxLFQ Intensity	A_3 MaxLFQ Intensity	B_1 MaxLFQ Intensity	B_2 MaxLFQ Intensity	B_3 MaxLFQ Intensity	C_1 MaxLFQ Intensity	C_2 MaxLFQ Intensity	C_3 MaxLFQ Intensity	D_1 MaxLFQ Intensity	D_2 MaxLFQ Intensity	D_3 MaxLFQ Intensity	E_1 MaxLFQ Intensity	E_2 MaxLFQ Intensity	E_3 MaxLFQ Intensity	Indistinguishable Proteins
O76070ups|SYUG_HUMAN_UPS	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)		147			O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	1.0	0.999	27	527	481	527	14	10	11	16	12	22	33	37	37	49	52	57	64	56	57	14	10	11	16	12	22	31	32	32	45	48	49	57	50	52	14	10	11	16	12	22	33	37	37	49	52	57	64	56	57	5.5867916E7	5.3234296E7	5.629653E7	7.147174E7	5.1186224E7	1.4670787E8	3.4108378E8	3.5370333E8	2.4656144E8	1.01476397E9	9.07566E8	1.1366359E9	2.222245E9	1.5436593E9	1.4656302E9	1.1469309E7	1.1172281E7	1.1338365E7	1.588506E7	9775589.0	2.7719336E7	5.2613684E7	5.3782624E7	5.2587744E7	1.5538717E8	1.5069736E8	1.545563E8	3.287441E8	2.6232605E8	2.3177466E8	
P01579ups|IFNG_HUMAN_UPS	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)		143			P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	1.0	0.999	14	192	192	192	1	1	1	1	1	4	14	12	9	25	20	24	31	20	28	1	1	1	1	1	4	14	12	9	25	20	24	31	20	28	1	1	1	1	1	4	14	12	9	25	20	24	31	20	28	4819334.5	4200215.5	4784526.5	7397013.0	3961136.5	2.0095698E7	3.8048748E7	3.461983E7	4.0151424E7	1.3076376E8	1.1779839E8	1.2562623E8	2.8097434E8	1.9345832E8	1.9443558E8	1481249.1	1548787.4	1472192.4	2374208.5	1328921.8	4104970.0	6109161.5	6552641.5	8808870.0	2.241011E7	1.972442E7	1.891719E7	4.3069708E7	3.3119562E7	2.9294382E7	
P62988ups|UBIQ_HUMAN_UPS	P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)		96			P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	0.9998	0.999	6	13	0	191	0	0	0	0	0	0	0	0	0	2	1	3	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	12	9	10	10	11	14	13	14	11	20	15	15	15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	492155.47	363184.84	461759.3	1299887.2	734867.6	659436.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5Z2X5|YP010_YEAST	A5Z2X5	YP010_YEAST	YPR010C-A	72	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	UPF0495 protein YPR010C-A	1.0	0.999	2	21	21	21	1	1	2	2	2	3	2	1	1	1	1	1	1	1	1	1	1	2	2	2	3	2	1	1	1	1	1	1	1	1	1	1	2	2	2	3	2	1	1	1	1	1	1	1	1	2999262.8	1395915.6	1562023.8	2569705.8	2439687.2	2425730.8	5894571.5	3639968.8	1196239.2	4402760.0	5733114.0	8961586.0	1.1916587E7	8610375.0	1.150341E7	2734241.5	1316827.6	1548201.2	2444281.5	2335461.0	2386116.0	3970525.8	3142517.5	1144075.4	3456655.8	3638799.5	4606709.5	5846762.5	4892414.5	5273699.5	
sp|O00762|UBE2C_HUMAN	O00762	UBE2C_HUMAN	UBE2C	179	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 C	1.0	0.999	22	190	190	190	3	4	2	3	3	6	14	10	10	21	16	24	27	22	25	3	4	2	3	3	6	14	10	10	21	16	24	27	22	25	3	4	2	3	3	6	14	10	10	21	16	24	27	22	25	8764944.0	8827085.0	8814457.0	1.2821716E7	7982193.5	3.404328E7	7.593604E7	7.061823E7	6.1975936E7	2.296739E8	2.2153363E8	2.454748E8	5.306916E8	3.8846608E8	3.650769E8	3584839.0	4339479.5	3871077.0	5589058.0	3113728.0	1.2711939E7	2.063445E7	2.4656072E7	2.4715456E7	8.0141416E7	7.759851E7	7.4008296E7	1.7538854E8	1.3292031E8	1.1280421E8	
sp|O13297|CET1_YEAST	O13297	CET1_YEAST	CET1	549	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	mRNA-capping enzyme subunit beta	0.9742	0.986	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O13516|RS9A_YEAST	O13516	RS9A_YEAST	RPS9A	197	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Small ribosomal subunit protein uS4A	1.0	0.999	13	16	16	194	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	13	13	13	14	14	12	14	13	14	12	12	14	12	12	12	382842.72	312645.75	350388.97	372169.12	406236.28	360990.66	349115.5	399556.4	141733.38	617028.56	678715.8	645472.8	493875.78	573976.56	604037.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O13563|RPN13_YEAST	O13563	RPN13_YEAST	RPN13	156	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	26S proteasome regulatory subunit RPN13	1.0	0.999	3	35	35	35	2	2	2	2	2	2	3	3	2	3	2	3	2	3	2	2	2	2	2	2	2	3	3	2	3	2	3	2	3	2	2	2	2	2	2	2	3	3	2	3	2	3	2	3	2	3003810.5	2946629.5	3095150.8	3157367.2	3114312.0	2974322.0	2591743.0	2757072.8	2392882.5	2741046.5	2646750.0	2573798.0	2823038.0	3018997.8	3090934.0	1753117.9	1773331.5	1846256.5	1842554.9	1765491.6	1641024.9	1568556.6	1584208.4	1435052.0	1710143.5	1607114.9	1467855.2	1639174.1	1877373.6	1889906.5	
sp|O13585|YP089_YEAST	O13585	YP089_YEAST	YPR089W	888	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Dilute domain-containing protein YPR089W	0.8592	0.9955	1	4	4	4	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14455|RL36B_YEAST	O14455	RL36B_YEAST	RPL36B	100	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Large ribosomal subunit protein eL36B	1.0	0.999	7	132	42	132	6	8	5	7	7	9	7	11	10	10	11	10	11	10	10	2	1	1	1	1	3	3	4	3	3	5	4	4	3	4	6	8	5	7	7	9	7	11	10	10	11	10	11	10	10	6.298105E7	6.4128852E7	6.504055E7	6.449908E7	6.4262308E7	6.2736724E7	5.980538E7	5.8912484E7	6.5760604E7	6.3177396E7	6.4140492E7	5.9709456E7	5.955878E7	6.0001388E7	6.7798456E7	2.2912396E7	2.3156354E7	2.4734598E7	2.4062798E7	2.4333788E7	2.2275826E7	2.1479876E7	1.9961198E7	2.1636946E7	2.0676794E7	1.9963034E7	2.0188602E7	2.019526E7	2.1047494E7	2.1350088E7	
